Id,Prediction
0,1.0
1,1.0
2,1.0
3,1.7967113851447475e-135
4,7.066473942338217e-96
5,1.0
6,1.665190754457319e-131
7,2.848465687724747e-81
8,1.0
9,1.0
10,1.0
11,0.011125815887046718
12,8.50434179597106e-139
13,3.7801921845851973e-147
14,1.4341021224536855e-34
15,1.0
16,1.0
17,5.3756479854051485e-22
18,6.509445326196838e-140
19,1.0
20,9.664090082696438e-200
21,6.506445992786658e-41
22,0.9999999999999998
23,1.0
24,1.9319826949530154e-159
25,7.291030471408169e-55
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,3.1422856650063595e-144
33,1.0
34,1.0
35,1.3356654771542867e-134
36,1.0
37,1.0
38,1.0
39,0.999999999999676
40,1.0
41,1.0671947864643053e-25
42,2.0568045396327139e-112
43,9.869775569893918e-129
44,1.734830512941896e-57
45,3.7098453543757388e-112
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,1.0
53,1.565857473364655e-183
54,1.0
55,5.099558889765682e-47
56,1.0
57,1.0
58,1.0
59,1.0
60,3.822230801919307e-165
61,1.6112316595255238e-91
62,1.0
63,2.841305330162975e-148
64,1.0
65,1.0
66,9.346484449681306e-130
67,1.0
68,1.0
69,4.41960508154549e-186
70,9.970631490639125e-122
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.1869079437648254e-51
77,2.8053711500950004e-179
78,1.0
79,1.0
80,1.0
81,1.2545375373490585e-135
82,5.25576609280202e-19
83,1.0
84,1.0
85,2.476291770023194e-74
86,1.0
87,3.7666057413166984e-138
88,1.0
89,1.0
90,1.0
91,1.0867639862300823e-120
92,7.595220596979345e-147
93,1.0
94,1.0
95,1.0
96,1.4466172270543468e-118
97,1.0
98,2.0854340198695553e-175
99,1.0
100,9.388864612396746e-104
101,1.0
102,1.0
103,9.960822051923164e-63
104,1.0
105,5.989538173844499e-73
106,1.9071046402817989e-60
107,1.0
108,4.449358790223767e-114
109,1.0
110,1.0
111,2.957615855953854e-114
112,1.0
113,7.932892151587358e-71
114,6.927668898896549e-23
115,1.036456968609668e-134
116,9.396093553873052e-41
117,1.0
118,1.0
119,1.0
120,1.5659446595151945e-88
121,1.0
122,3.757784084905807e-158
123,1.0
124,1.0
125,1.0
126,1.058099735982765e-48
127,8.761011337331826e-130
128,1.0
129,1.0
130,1.0
131,1.4333130418190074e-179
132,5.247580169836461e-22
133,1.0
134,1.3607584787318574e-87
135,2.106018735169545e-80
136,1.0
